name,year,selling_price,km_driven,fuel,transmission
775,2007,11.002116507732017,70000,4,1
1041,2007,11.813037464800539,50000,4,1
505,2012,13.304686600863562,100000,1,1
118,2017,12.429220196836383,46000,4,1
279,2014,13.017005083966255,141000,1,1
812,2007,11.849404844423074,125000,4,1
545,2016,13.217675375388819,25000,4,1
1256,2014,12.388398368982115,60000,4,1
390,2015,13.652992804936396,25000,4,1
834,2017,12.807655372286902,78000,0,1
75,2015,12.468440756144114,35000,4,1
1256,2014,12.429220196836383,100000,4,1
1354,2018,14.316286451937186,25000,4,0
861,2015,13.279368835614243,24000,4,1
496,2019,13.993657580167481,5000,1,1
69,2013,12.873904582205107,33000,1,1
610,2014,14.491002803285499,28000,1,0
1093,2013,14.169683073439028,59000,1,0
1021,2018,13.790193775620484,4500,1,0
20,2011,13.989464705423494,175900,1,0
313,2018,13.742940940397677,14500,4,1
1334,2018,13.171155446333852,15000,4,1
12,2013,14.366518547731806,50000,1,0
1094,2012,14.13396501635527,33800,1,0
1197,2011,13.017005083966255,130400,1,0
1360,2016,13.710151153416941,50000,4,0
1398,2015,14.077875591662238,80000,1,1
614,2019,14.151983508870947,10000,4,1
1084,2010,13.652992804936396,119000,4,0
557,2014,12.345834587905333,60000,4,1
28,2013,14.253766134056512,75800,1,0
24,2009,14.038654909278163,78000,1,0
407,2012,13.345508528717259,40000,1,1
675,2014,13.864301674514206,50000,1,1
320,2014,13.235693848424024,74000,1,1
1049,2014,12.577639650232573,64000,4,1
1048,2012,12.524530013005734,60000,4,1
686,2009,12.926350926565435,120000,1,1
476,2009,11.918397239722838,79000,4,1
432,2019,13.122365377402328,15000,4,1
814,2006,11.51293546492023,80000,4,1
972,2017,13.493928313146206,18500,1,1
870,2018,12.901719200051183,10200,4,1
606,2018,13.527829818844937,29000,1,1
923,2018,12.644330802262578,28000,4,1
1009,2016,13.407543823396258,46000,1,1
583,2014,13.049794835104816,70000,1,1
814,2012,11.982935344196433,60000,4,1
647,1996,12.429220196836383,35000,1,1
321,2014,13.42246945133505,90000,1,1
1048,2013,12.611541086966115,80000,4,1
1217,2005,11.156264806643742,80000,1,1
402,2014,12.388398368982115,73300,4,1
1370,2014,13.171155446333852,92000,1,1
814,2009,11.92504173829169,66764,4,1
814,2009,11.849404844423074,100000,4,1
99,2010,12.54254845357358,350000,1,1
1356,2011,12.765691290604371,230000,1,1
677,2017,13.25339339419516,60000,1,1
402,2018,12.611541086966115,31000,4,1
1251,2007,11.51293546492023,39000,1,1
1414,2009,13.122365377402328,120000,1,1
1235,2014,11.736077016252437,166000,1,1
954,2006,11.775297421715827,110000,4,1
154,2017,13.73755009757506,35000,1,1
848,2018,13.527829818844937,60000,1,1
341,2007,12.206077645517674,54000,4,0
563,2010,12.421188057397055,63000,4,1
1185,2014,13.017005083966255,120000,1,1
426,2005,11.289794413577894,120000,4,1
1120,2014,13.384729180332174,76000,4,1
447,2015,13.017005083966255,80000,1,1
413,2019,13.384729180332174,25000,1,1
270,2016,13.112315061750808,11958,4,1
292,2015,12.82396003700373,20000,4,1
388,2017,13.840204146163925,9000,4,1
1097,2017,15.913528607916424,6500,1,0
755,2015,13.527829818844937,70000,1,1
1138,2013,13.304686600863562,120000,1,1
487,2007,11.289794413577894,58000,4,1
625,2013,12.691583538230217,62200,1,1
13,2014,14.200773639026796,34000,1,0
121,2015,12.765691290604371,53000,1,1
16,2013,14.845130332288226,49000,1,0
113,2017,12.25486757159303,15000,4,1
1440,2013,13.017005083966255,50000,4,1
5,2013,13.955273369904273,53000,1,0
341,2009,12.25486757159303,63500,4,0
1088,2018,15.319588176962746,9800,4,0
36,2017,14.827111833279051,13000,1,0
1487,2018,14.496079462646344,21000,1,0
948,2008,12.07254696717504,29173,4,1
33,2012,14.731801689838349,48000,1,0
637,2017,13.350297037805756,120000,1,1
492,2010,13.304686600863562,100000,1,1
1106,2017,12.896719202134523,30000,4,1
762,2018,13.527829818844937,87000,1,1
420,2019,13.527829818844937,15000,4,1
1154,2017,12.660331092405906,16000,4,1
767,2012,13.304686600863562,60000,1,1
1041,2010,11.51293546492023,60000,4,1
947,2011,12.429220196836383,110000,4,1
1154,2017,12.765691290604371,25000,4,1
375,2016,13.567050480716235,60000,1,1
971,2014,12.980802117227352,79350,1,1
511,2016,13.444448325847754,80000,4,0
687,2014,13.22672519452875,90000,1,1
942,2007,11.695255355062795,90000,4,1
883,2014,13.122365377402328,120000,1,1
50,2013,12.013706813470414,60000,1,1
1070,2004,11.461642696843066,50000,4,1
823,2018,13.217675375388819,20000,4,1
1005,2007,11.51293546492023,110000,1,1
1283,2012,11.51293546492023,50000,4,1
1408,2012,13.122365377402328,100000,1,1
880,2016,13.592368256649284,70000,1,1
380,2016,13.641158361294979,70000,1,1
271,2016,13.102162710901053,50000,4,1
1228,2010,11.736077016252437,81000,1,1
92,2012,12.899222326086994,120000,1,1
63,2015,13.815511557963774,3600,1,1
221,2015,13.180634172318978,14272,4,1
155,2017,13.641158361294979,49213,1,1
562,2015,12.345834587905333,40000,4,1
782,1998,10.596659732783579,40000,4,1
85,2012,11.775297421715827,80000,4,1
396,2015,12.206077645517674,70000,4,1
1229,2011,11.695255355062795,70000,1,1
465,2003,11.225256725762893,57000,4,1
1206,2016,12.429220196836383,120000,1,1
777,2005,11.51293546492023,30000,4,1
396,2013,12.54254845357358,3240,4,1
600,2015,13.199326270390594,5000,4,1
566,2018,13.45883704259595,10000,4,1
858,2015,13.171155446333852,100000,1,1
595,2016,12.971542813248437,80000,1,1
463,2002,11.082157933374816,70000,4,1
1017,2018,13.592368256649284,35000,1,1
486,2007,11.225256725762893,114000,4,1
421,2008,12.25486757159303,53772,4,1
669,2012,12.180759965737863,140000,1,1
96,2015,12.899222326086994,120000,1,1
402,2012,12.04355959836804,60000,4,1
1154,2016,12.323860125621126,25000,4,1
1028,2014,12.25486757159303,90000,3,1
1034,2020,12.388398368982115,120000,4,1
65,2015,12.611541086966115,175000,1,1
85,2011,11.502885230075814,100000,4,1
325,2014,13.3374763699232,36000,4,1
279,2013,13.122365377402328,30000,1,1
613,2010,14.751604309291395,40000,4,0
290,2013,12.468440756144114,70000,4,1
997,2017,13.217675375388819,60000,4,1
1244,2011,11.918397239722838,155500,1,1
550,2011,12.765691290604371,50000,4,0
56,2016,12.676079399771027,40000,4,1
993,2015,12.899222326086994,100000,1,1
814,2012,12.07254696717504,80000,4,1
56,2011,11.695255355062795,90000,4,1
1133,2013,12.676079399771027,90000,1,1
479,2006,11.156264806643742,110000,4,1
981,2019,13.60479076121576,15000,4,1
775,2007,11.461642696843066,100000,4,1
804,2020,12.549665896013254,40000,0,1
783,2004,11.289794413577894,60000,4,1
1280,2013,11.184435286790631,25000,4,1
600,2016,13.304686600863562,25000,4,1
1189,2015,13.369225017834633,23000,4,1
806,2018,12.847929163278053,22155,4,1
851,2018,13.384729180332174,70000,4,1
811,2009,11.918397239722838,60000,4,1
591,2009,12.54254845357358,110000,4,1
1301,2018,12.971542813248437,30000,4,1
637,2019,13.592368256649284,15000,1,1
1058,2003,11.225256725762893,100000,1,1
1477,2016,13.384729180332174,70000,1,0
872,2017,12.873904582205107,24000,4,1
300,2005,11.51293546492023,120000,4,1
1093,2013,14.220976332738882,35000,1,0
949,2007,12.07254696717504,78380,4,1
1133,2012,12.983101310070822,110000,1,1
233,2010,12.04355959836804,90000,1,1
233,2011,12.154784614286667,90000,1,1
973,2009,12.429220196836383,150000,1,1
764,2009,12.345834587905333,230000,1,1
898,2006,11.849404844423074,70000,4,1
993,2017,13.304686600863562,80362,1,1
572,2012,12.54254845357358,110000,4,1
52,2012,11.918397239722838,60000,1,1
64,2015,13.384729180332174,50000,1,0
1111,2014,12.25486757159303,40000,4,1
30,2017,14.88022163978423,40000,1,0
65,2013,12.959846800844963,20000,1,1
397,2014,12.487488878546145,55000,4,1
136,2018,13.698977865303197,1136,4,1
1164,2013,12.807655372286902,55000,4,1
237,2014,12.765691290604371,43000,4,1
865,2016,13.437175577097312,60000,1,1
1184,2018,13.753636218075409,2650,1,1
751,2017,13.815511557963774,40000,1,1
736,2019,13.955273369904273,15000,4,1
881,2016,13.017005083966255,115962,1,1
1119,2015,13.28787951079572,65000,1,1
933,2017,13.592368256649284,40000,1,1
602,2012,12.861001210669146,58000,1,1
1095,2013,14.508658238524095,15000,1,0
396,2012,12.367345048436391,54000,4,1
1436,2017,13.369225017834633,56000,1,1
811,2006,10.859018228147887,120000,4,1
920,2009,11.289794413577894,90000,3,1
811,2012,11.849404844423074,70000,4,1
536,2008,11.695255355062795,90000,4,1
672,2008,11.407564949312402,213000,1,1
73,2012,12.100717685412471,120000,1,1
691,2017,14.220976332738882,20000,1,1
585,2017,13.45883704259595,10000,4,1
937,2012,12.560247968016562,80000,1,1
448,2015,12.873904582205107,90000,4,1
816,2008,11.736077016252437,80000,4,1
949,2008,12.323860125621126,60000,4,1
551,2011,12.07254696717504,139000,4,1
1413,2011,13.887832149776026,160000,1,1
360,2014,12.611541086966115,150000,1,1
1399,2010,13.45883704259595,163000,1,1
1222,2009,11.407576060361786,120000,1,1
1238,2011,11.695255355062795,120000,1,1
51,2012,12.301387370778713,100000,1,1
1341,2015,12.611541086966115,140000,1,1
1168,2010,12.100717685412471,87000,1,1
782,2013,12.04355959836804,70000,4,1
237,2015,12.611541086966115,50000,4,1
1417,2014,13.864301674514206,70000,1,1
